chunk_index,chunk_level,content_type,section_id,section_title,section_path,section_path_ids,page_start,page_end
0,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
1,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
2,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
3,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
4,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
5,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
6,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
7,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_2,First result,['First result'],['30c88170-fd15-5486-bf70-bbab16747183_section_2'],3,3.0
8,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_2,First result,['First result'],['30c88170-fd15-5486-bf70-bbab16747183_section_2'],3,3.0
9,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
10,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
11,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
12,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
13,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
14,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
15,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
16,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
17,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
18,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
19,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
20,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
21,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
22,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
23,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
24,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
25,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
26,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
27,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
28,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
29,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
30,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
31,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
32,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
33,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
34,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
35,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
36,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
37,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
38,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
39,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
40,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
41,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
42,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
43,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
44,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
45,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
46,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
47,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
48,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
49,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
50,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
51,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
52,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
53,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
54,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
55,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
56,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
57,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
58,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
59,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
60,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
61,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
62,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
63,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
64,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
65,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
66,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
67,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
68,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
69,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
70,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
71,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
72,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
73,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
74,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
75,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
76,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
77,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
78,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
79,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
80,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
81,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
82,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
83,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
84,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
85,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
86,coarse,figure,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
87,coarse,figure,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
88,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
89,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
90,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
91,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
92,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
93,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
94,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
95,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
96,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
97,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_11,Upper bound,['Upper bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_11'],10,14.0
98,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_12,Applications,['Applications'],['30c88170-fd15-5486-bf70-bbab16747183_section_12'],15,15.0
99,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_12,Applications,['Applications'],['30c88170-fd15-5486-bf70-bbab16747183_section_12'],15,15.0
100,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
101,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
102,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
103,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
104,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
105,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
106,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
107,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
108,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
109,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
110,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
111,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
112,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
113,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
114,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_19,The trace function,['The trace function'],['30c88170-fd15-5486-bf70-bbab16747183_section_19'],16,16.0
115,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
116,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
117,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
118,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
119,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
120,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
121,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
122,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
123,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
124,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
125,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
126,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
127,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
128,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
129,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
130,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
131,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
132,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
133,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
134,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
135,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
136,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
137,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
138,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
139,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
140,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
141,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_21,Reference,['Reference'],['30c88170-fd15-5486-bf70-bbab16747183_section_21'],18,
